,target_id,source_id,rmse,spear,glm_uncal_rmse,source_id2,glm_source_id,glm_source_rmse,glm_source_spear
0,test_nhdhr_0cb9b9cf-3f4b-4061-9608-9f965f202b85,nhdhr_86274749,3.2193137829510405,0.329340888257653,3.1305382234184136,86274749,91691293,2.96267999409197,-0.12605673904012804
1,test_nhdhr_105953415,nhdhr_120020334,1.5794444814920956,0.6643499603376426,2.8292438070313426,120020334,69886510,3.7610582948186404,0.23444267247302
2,test_nhdhr_120018046,nhdhr_166867866,3.9672891648107327,0.9337772995956132,2.59491544,166867866,120018307,2.89733221371427,0.2892325216922156
3,test_nhdhr_120018038,nhdhr_1101938,1.4813968313208612,0.8850558010054433,2.2383014080000003,120018124,34130604,2.4126434726517902,0.3242525652114796
4,test_nhdhr_120018055,nhdhr_2385648,2.509831909030114,0.8673834090915877,2.440954903,91597877,91690129,2.83597293849303,0.19972877901974195
5,test_nhdhr_120018072,nhdhr_1101504,1.5598508890025733,0.9176575620738288,3.2176056280000003,34129544,34130604,2.4147761336938,0.4533663998745472
6,test_nhdhr_120018079,nhdhr_2385444,2.461340824858868,0.8260330376986478,3.316461986,120020242,120018459,2.3671205553857,0.4210180112476648
7,test_nhdhr_34127844,nhdhr_120020805,2.0459182647330056,0.8078012920871358,3.2341866980000002,120020805,34130604,2.1743268629298402,0.3966030941148949
8,test_nhdhr_34130613,nhdhr_120051922,1.2681209426502478,0.8496254221279128,1.8716779119999998,120018084,120018084,1.9199821185136399,0.264220722056696
9,test_nhdhr_120018092,nhdhr_91593827,2.0420617733238204,0.7903458736716594,2.349554738,91593827,91691293,5.0666630684464105,0.3434717412963285
10,test_nhdhr_34131552,nhdhr_1101684,1.0673932996806637,0.9453405936514352,2.21933466,120018100,120018133,2.05968921420643,0.3148301912381833
11,test_nhdhr_120018103,nhdhr_120018132,2.7656620049327896,0.4783777946534944,4.444011941,120018132,34126002,2.6739271769653503,0.24897709179274466
12,test_nhdhr_120018106,nhdhr_1101942,1.9009637367577916,0.5313511775788743,3.976742779,120018133,34130604,2.4237850737327298,0.4780896695917634
13,test_nhdhr_34132539,nhdhr_2647582,1.2362152598127782,0.9345814949474036,1.798700046,91688455,86275133,2.6471388275601297,0.2425149026301333
14,test_nhdhr_34133487,nhdhr_4250588,3.558924720043833,0.8230153145468788,2.46153908,120019712,86275133,1.90810782660875,0.13783801028443896
15,test_nhdhr_120018136,nhdhr_2384766,1.3520270043545666,0.9411444456277352,2.760469063,91594833,34130604,1.96052325537597,0.41446551882817984
16,test_nhdhr_120017997,nhdhr_2385444,1.1849330074558495,0.3211357069703234,3.0035196253572685,120020242,34126002,2.0788314585461296,0.3511012652429153
17,test_nhdhr_120018025,nhdhr_1101504,2.1326021969093274,0.8021918304501404,2.7577604594980483,34129544,45722930,2.3452152944952798,0.2675311073025736
18,test_nhdhr_120018061,nhdhr_34127708,1.98039279214753,0.7412481549787953,3.0257116712298573,34127708,91691293,4.86864854116361,0.3531870502248489
19,test_nhdhr_120018073,nhdhr_1101504,1.7053876544247977,0.8529059021768016,3.0105990533395284,34129544,91690129,2.18209487534679,0.4363189069915847
20,test_nhdhr_120018078,nhdhr_120018070,2.4892832904299533,0.38882745729951596,3.068579631517399,120018070,120018074,2.77515340266383,0.22639907505589085
21,test_nhdhr_120018120,nhdhr_120018089,1.7349227335322233,0.6538038539668827,6.302994793788495,120018089,91691293,5.28022832509607,0.3713578275225802
22,test_nhdhr_120018130,nhdhr_91688409,1.7272845862130286,0.30215351173597704,3.635432616884255,91688409,91690341,1.70826723756821,0.15686556726323905
23,test_nhdhr_120018204,nhdhr_10596466,1.4933993673817216,0.6020686133900517,3.7148584360904446,32672122,32672122,1.89025236557561,0.3354942194330093
24,test_nhdhr_120018220,nhdhr_120020343,1.1427752026894995,0.7960130622027192,2.9000312996211384,120020343,120020199,3.28372881677709,0.1306754202514423
25,test_nhdhr_120018233,nhdhr_120020844,1.6346643199567783,0.6869868651410178,2.8611818368186563,120020844,120018074,3.3679867901166403,0.1100598474627435
26,test_nhdhr_120018346,nhdhr_12162854,1.4393347112012649,0.9084969011606092,3.0156802674357404,139269431,139269431,3.7099549659519497,0.1759195544635631
27,test_nhdhr_120018493,nhdhr_166867866,2.8412367769029485,0.9525345590013646,3.8265912442181653,166867866,45730390,3.75891566610731,0.5021411711785786
28,test_nhdhr_120018510,nhdhr_120020343,2.9185029767259283,0.8823804580529515,2.9041805934829448,120020343,91684663,4.43057667536466,0.3387737694204424
29,test_nhdhr_120019016,nhdhr_166867866,2.520005895481872,0.9287172387435044,2.917890435748005,166867866,120019294,3.4313078092589104,0.20059877381157276
